id,idshop
21629119012,81075907
20629525662,307351763
16678471917,17227968
19223431141,493704632
16683003980,619007054
20069617451,543220381
20904955764,305041920
18915582729,94970725
19034000188,807276554
17185278936,820989188
5889370218,16580423
13836258622,17475845
21633997839,797949148
22420455071,274021079
13020630143,130025328
3891290785,460257458
18669618211,543220381
19752207535,518698059
15868812301,235157499
13130290475,52158625
17576448641,187103490
16533708397,436777764
13044811624,448364971
16191698796,130025328
23602512114,375372299
16678443885,461923258
14654134203,62557306
18108291820,70677296
13029640323,85252593
6939920023,83496725
10759471980,515022258
19114558641,17475845
17230021278,724295836
13468609188,444606515
14308620174,590010013
14486825868,321258581
12867213806,612630776
16172489595,16580482
15281707071,228476792
17076859914,70677296
10990560552,493704632
16519730639,452480749
10759106184,63168762
3791784325,453981998
13413609496,241144591
20749487390,688699270
18149706578,364598436
21150081757,746278578
14486390461,62971107
11504674171,8015732
7356560914,41726939
14313778244,236144271
2623103363,167989440
19626432358,76875639
21636466767,829453607
17717880938,493704632
18921835382,70677296
16936296515,703090265
15515084003,618151160
13719247167,421333629
20629525662,307351763
16678471917,17227968
19223431141,493704632
16683003980,619007054
20069617451,543220381
20904955764,305041920
18915582729,94970725
19034000188,807276554
17185278936,820989188
5889370218,16580423
13836258622,17475845
21633997839,797949148
22420455071,274021079
13020630143,130025328
3891290785,460257458
18669618211,543220381
19752207535,518698059
15868812301,235157499
13130290475,52158625
17576448641,187103490
16533708397,436777764
13044811624,448364971
16191698796,130025328
23602512114,375372299
16678443885,461923258
14654134203,62557306
18108291820,70677296
13029640323,85252593
6939920023,83496725
10759471980,515022258
19114558641,17475845
17230021278,724295836
13468609188,444606515
14308620174,590010013
14486825868,321258581
12867213806,612630776
16172489595,16580482
15281707071,228476792
17076859914,70677296
10990560552,493704632
16519730639,452480749
10759106184,63168762
3791784325,453981998
13413609496,241144591
20749487390,688699270
18149706578,364598436
21150081757,746278578
14486390461,62971107
11504674171,8015732
7356560914,41726939
14313778244,236144271
2623103363,167989440
19626432358,76875639
21636466767,829453607
17717880938,493704632
18921835382,70677296
16936296515,703090265
15515084003,618151160
13719247167,421333629
8675108155,57040335
16678471917,17227968
19223431141,493704632
16683003980,619007054
20069617451,543220381
20904955764,305041920
18915582729,94970725
19034000188,807276554
17185278936,820989188
5889370218,16580423
13836258622,17475845
21633997839,797949148
22420455071,274021079
13020630143,130025328
3891290785,460257458
18669618211,543220381
19752207535,518698059
15868812301,235157499
13130290475,52158625
17576448641,187103490
16533708397,436777764
13044811624,448364971
16191698796,130025328
23602512114,375372299
16678443885,461923258
14654134203,62557306
18108291820,70677296
13029640323,85252593
6939920023,83496725
10759471980,515022258
19114558641,17475845
17230021278,724295836
13468609188,444606515
14308620174,590010013
14486825868,321258581
12867213806,612630776
16172489595,16580482
15281707071,228476792
17076859914,70677296
10990560552,493704632
16519730639,452480749
10759106184,63168762
3791784325,453981998
13413609496,241144591
20749487390,688699270
18149706578,364598436
21150081757,746278578
14486390461,62971107
11504674171,8015732
7356560914,41726939
14313778244,236144271
2623103363,167989440
19626432358,76875639
21636466767,829453607
17717880938,493704632
18921835382,70677296
16936296515,703090265
15515084003,618151160
13719247167,421333629
8675108155,57040335
22216000773,924819450
19223431141,493704632
16683003980,619007054
20069617451,543220381
20904955764,305041920
18915582729,94970725
19034000188,807276554
17185278936,820989188
5889370218,16580423
13836258622,17475845
21633997839,797949148
22420455071,274021079
13020630143,130025328
3891290785,460257458
18669618211,543220381
19752207535,518698059
15868812301,235157499
13130290475,52158625
17576448641,187103490
16533708397,436777764
13044811624,448364971
16191698796,130025328
23602512114,375372299
16678443885,461923258
14654134203,62557306
18108291820,70677296
13029640323,85252593
6939920023,83496725
10759471980,515022258
19114558641,17475845
17230021278,724295836
13468609188,444606515
14308620174,590010013
14486825868,321258581
12867213806,612630776
16172489595,16580482
15281707071,228476792
17076859914,70677296
10990560552,493704632
16519730639,452480749
10759106184,63168762
3791784325,453981998
13413609496,241144591
20749487390,688699270
18149706578,364598436
21150081757,746278578
14486390461,62971107
11504674171,8015732
7356560914,41726939
14313778244,236144271
2623103363,167989440
19626432358,76875639
21636466767,829453607
17717880938,493704632
18921835382,70677296
16936296515,703090265
15515084003,618151160
13719247167,421333629
8675108155,57040335
22216000773,924819450
12212537054,279899189
16683003980,619007054
20069617451,543220381
20904955764,305041920
18915582729,94970725
19034000188,807276554
17185278936,820989188
5889370218,16580423
13836258622,17475845
21633997839,797949148
22420455071,274021079
13020630143,130025328
3891290785,460257458
18669618211,543220381
19752207535,518698059
15868812301,235157499
13130290475,52158625
17576448641,187103490
16533708397,436777764
13044811624,448364971
16191698796,130025328
23602512114,375372299
16678443885,461923258
14654134203,62557306
18108291820,70677296
13029640323,85252593
6939920023,83496725
10759471980,515022258
19114558641,17475845
17230021278,724295836
13468609188,444606515
14308620174,590010013
14486825868,321258581
12867213806,612630776
16172489595,16580482
15281707071,228476792
17076859914,70677296
10990560552,493704632
16519730639,452480749
10759106184,63168762
3791784325,453981998
13413609496,241144591
20749487390,688699270
18149706578,364598436
21150081757,746278578
14486390461,62971107
11504674171,8015732
7356560914,41726939
14313778244,236144271
2623103363,167989440
19626432358,76875639
21636466767,829453607
17717880938,493704632
18921835382,70677296
16936296515,703090265
15515084003,618151160
13719247167,421333629
8675108155,57040335
22216000773,924819450
12212537054,279899189
9433384936,98208654
